Order_ID,Order_Date,Product_ID,Product_Name,Product_Category,Supplier_ID,Supplier_Name,Supplier_Rating,Warehouse_ID,Warehouse_Name,Warehouse_Location,Warehouse_Capacity,Warehouse_Utilization,Quantity,Unit_Price,Order_Value,Shipping_Mode,Origin,Destination,Distance_KM,Shipping_Cost,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delivery_Delay_Days,Inventory_Level,Reorder_Level,Inventory_Status,Delay_Category,Order_Month,Order_Month_Name,Order_Quarter,Order_Year,Order_Day,Shipping_Cost_Per_KM,Inventory_Risk,Warehouse_Risk,Delivery_Risk,Overall_Risk
ORD07428,2025-01-01,P012,RAM,Computer Parts,SUP007,Digital Supply Co,3.8,WH005,Delhi Distribution,Delhi,14000,46.96,58,3500,203000,Rail,Bangalore,Pune,1944,9720,2025-01-08,2025-01-10,Delayed,2,149,127,Sufficient,Minor Delay,1,January,Q1,2025,Wednesday,5.0,Medium Risk,Low Risk,Medium Risk,Medium Risk
ORD06885,2025-01-01,P003,Monitor,Electronics,SUP006,Reliable Components,4.7,WH006,Pune Warehouse,Pune,8000,60.99,31,18000,558000,Air,Bangalore,Mumbai,1312,23616,2025-01-04,2025-01-04,On Time,0,170,166,Sufficient,On Time,1,January,Q1,2025,Wednesday,18.0,Medium Risk,Low Risk,Low Risk,Low Risk
ORD05914,2025-01-01,P008,Router,Networking,SUP008,FutureTech Suppliers,4.5,WH001,Chennai Central,Chennai,10000,64.74,69,5000,345000,Sea,Bangalore,Jaipur,2041,6123,2025-01-11,2025-01-17,Delayed,6,76,273,Reorder Required,Moderate Delay,1,January,Q1,2025,Wednesday,3.0,High Risk,Low Risk,High Risk,High Risk
ORD09985,2025-01-01,P011,SSD,Storage,SUP003,Prime Components,4.8,WH005,Delhi Distribution,Delhi,14000,58.35,38,7000,266000,Air,Bangalore,Ahmedabad,1813,32634,2025-01-02,2025-01-09,Delayed,7,655,213,Sufficient,Moderate Delay,1,January,Q1,2025,Wednesday,18.0,Low Risk,Low Risk,High Risk,Medium Risk
ORD06088,2025-01-01,P014,Webcam,Accessories,SUP006,Reliable Components,4.7,WH004,Mumbai Central,Mumbai,15000,80.52,4,4000,16000,Rail,Mumbai,Chennai,1002,5010,2025-01-08,2025-01-08,On Time,0,75,102,Reorder Required,On Time,1,January,Q1,2025,Wednesday,5.0,High Risk,Medium Risk,Low Risk,Medium Risk
ORD01418,2025-01-01,P010,Hard Drive,Storage,SUP003,Prime Components,4.8,WH004,Mumbai Central,Mumbai,15000,47.82,14,6000,84000,Road,Hyderabad,Kolkata,381,3048,2025-01-09,2025-01-09,On Time,0,252,212,Sufficient,On Time,1,January,Q1,2025,Wednesday,8.0,Medium Risk,Low Risk,Low Risk,Low Risk
ORD02837,2025-01-02,P002,Desktop PC,Electronics,SUP003,Prime Components,4.8,WH002,Bangalore Hub,Bangalore,12000,57.74,4,55000,220000,Road,Mumbai,Bangalore,2102,16816,2025-01-07,2025-01-08,Delayed,1,662,139,Sufficient,Minor Delay,1,January,Q1,2025,Thursday,8.0,Low Risk,Low Risk,Medium Risk,Low Risk
ORD03916,2025-01-02,P011,SSD,Storage,SUP008,FutureTech Suppliers,4.5,WH002,Bangalore Hub,Bangalore,12000,49.43,40,7000,280000,Air,Mumbai,Coimbatore,1029,18522,2025-01-03,2025-01-03,On Time,0,937,134,Sufficient,On Time,1,January,Q1,2025,Thursday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD06343,2025-01-02,P007,Scanner,Office Equipment,SUP005,SmartTech Distributors,4.4,WH006,Pune Warehouse,Pune,8000,74.82,4,9000,36000,Road,Delhi,Bangalore,1895,15160,2025-01-10,2025-01-10,On Time,0,427,210,Sufficient,On Time,1,January,Q1,2025,Thursday,8.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD03246,2025-01-02,P012,RAM,Computer Parts,SUP006,Reliable Components,4.7,WH001,Chennai Central,Chennai,10000,78.13,73,3500,255500,Air,Bangalore,Chennai,1890,34020,2025-01-04,2025-01-05,On Time,1,153,235,Reorder Required,Minor Delay,1,January,Q1,2025,Thursday,18.0,High Risk,Medium Risk,Medium Risk,High Risk
ORD03302,2025-01-02,P008,Router,Networking,SUP005,SmartTech Distributors,4.4,WH006,Pune Warehouse,Pune,8000,53.16,6,5000,30000,Air,Pune,Bangalore,1406,25308,2025-01-06,2025-01-06,On Time,0,241,297,Reorder Required,On Time,1,January,Q1,2025,Thursday,18.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD03481,2025-01-02,P004,Keyboard,Accessories,SUP001,TechSource India,4.6,WH003,Hyderabad Hub,Hyderabad,9000,64.89,28,1500,42000,Sea,Hyderabad,Bangalore,692,2076,2025-01-18,2025-01-18,On Time,0,544,287,Sufficient,On Time,1,January,Q1,2025,Thursday,3.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD07115,2025-01-02,P002,Desktop PC,Electronics,SUP008,FutureTech Suppliers,4.5,WH004,Mumbai Central,Mumbai,15000,83.24,38,55000,2090000,Air,Chennai,Mumbai,1344,24192,2025-01-05,2025-01-05,On Time,0,341,157,Sufficient,On Time,1,January,Q1,2025,Thursday,18.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD02330,2025-01-02,P010,Hard Drive,Storage,SUP003,Prime Components,4.8,WH003,Hyderabad Hub,Hyderabad,9000,96.85,13,6000,78000,Road,Hyderabad,Chennai,1351,10808,2025-01-05,2025-01-06,On Time,1,650,246,Sufficient,Minor Delay,1,January,Q1,2025,Thursday,8.0,Low Risk,High Risk,Medium Risk,Medium Risk
ORD05802,2025-01-02,P010,Hard Drive,Storage,SUP004,NextGen Supplies,3.9,WH005,Delhi Distribution,Delhi,14000,96.38,81,6000,486000,Sea,Chennai,Ahmedabad,2293,6879,2025-01-21,2025-01-21,On Time,0,366,296,Sufficient,On Time,1,January,Q1,2025,Thursday,3.0,Medium Risk,High Risk,Low Risk,Medium Risk
ORD07497,2025-01-02,P008,Router,Networking,SUP006,Reliable Components,4.7,WH003,Hyderabad Hub,Hyderabad,9000,49.35,19,5000,95000,Air,Hyderabad,Mumbai,1268,22824,2025-01-04,2025-01-04,On Time,0,816,171,Sufficient,On Time,1,January,Q1,2025,Thursday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD06090,2025-01-02,P004,Keyboard,Accessories,SUP008,FutureTech Suppliers,4.5,WH005,Delhi Distribution,Delhi,14000,60.13,14,1500,21000,Air,Chennai,Delhi,480,8640,2025-01-06,2025-01-06,On Time,0,455,193,Sufficient,On Time,1,January,Q1,2025,Thursday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD05768,2025-01-02,P003,Monitor,Electronics,SUP001,TechSource India,4.6,WH004,Mumbai Central,Mumbai,15000,75.68,31,18000,558000,Sea,Chennai,Bangalore,1754,5262,2025-01-22,2025-01-24,Delayed,2,453,133,Sufficient,Minor Delay,1,January,Q1,2025,Thursday,3.0,Low Risk,Medium Risk,Medium Risk,Medium Risk
ORD09925,2025-01-02,P008,Router,Networking,SUP007,Digital Supply Co,3.8,WH002,Bangalore Hub,Bangalore,12000,80.23,66,5000,330000,Air,Delhi,Mumbai,2246,40428,2025-01-04,2025-01-08,Delayed,4,322,126,Sufficient,Moderate Delay,1,January,Q1,2025,Thursday,18.0,Low Risk,Medium Risk,High Risk,Medium Risk
ORD07613,2025-01-02,P014,Webcam,Accessories,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,74.55,48,4000,192000,Sea,Bangalore,Delhi,1903,5709,2025-01-16,2025-01-16,On Time,0,568,139,Sufficient,On Time,1,January,Q1,2025,Thursday,3.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD03432,2025-01-02,P005,Mouse,Accessories,SUP008,FutureTech Suppliers,4.5,WH001,Chennai Central,Chennai,10000,60.45,4,800,3200,Rail,Mumbai,Pune,981,4905,2025-01-11,2025-01-11,On Time,0,110,164,Reorder Required,On Time,1,January,Q1,2025,Thursday,5.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD09550,2025-01-02,P004,Keyboard,Accessories,SUP007,Digital Supply Co,3.8,WH003,Hyderabad Hub,Hyderabad,9000,80.41,72,1500,108000,Rail,Pune,Kolkata,1733,8665,2025-01-12,2025-01-13,On Time,1,177,134,Sufficient,Minor Delay,1,January,Q1,2025,Thursday,5.0,Medium Risk,Medium Risk,Medium Risk,Medium Risk
ORD02188,2025-01-02,P008,Router,Networking,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,72.75,62,5000,310000,Road,Pune,Kolkata,809,6472,2025-01-05,2025-01-05,On Time,0,308,239,Sufficient,On Time,1,January,Q1,2025,Thursday,8.0,Medium Risk,Low Risk,Low Risk,Low Risk
ORD01916,2025-01-02,P003,Monitor,Electronics,SUP006,Reliable Components,4.7,WH003,Hyderabad Hub,Hyderabad,9000,93.49,63,18000,1134000,Road,Pune,Ahmedabad,2441,19528,2025-01-09,2025-01-09,On Time,0,553,234,Sufficient,On Time,1,January,Q1,2025,Thursday,8.0,Low Risk,High Risk,Low Risk,Medium Risk
ORD04039,2025-01-02,P010,Hard Drive,Storage,SUP005,SmartTech Distributors,4.4,WH003,Hyderabad Hub,Hyderabad,9000,52.71,48,6000,288000,Sea,Bangalore,Delhi,2385,7155,2025-01-14,2025-01-15,On Time,1,452,145,Sufficient,Minor Delay,1,January,Q1,2025,Thursday,3.0,Low Risk,Low Risk,Medium Risk,Low Risk
ORD04289,2025-01-02,P011,SSD,Storage,SUP006,Reliable Components,4.7,WH005,Delhi Distribution,Delhi,14000,88.29,57,7000,399000,Rail,Pune,Coimbatore,2201,11005,2025-01-07,2025-01-07,On Time,0,622,268,Sufficient,On Time,1,January,Q1,2025,Thursday,5.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD02656,2025-01-02,P014,Webcam,Accessories,SUP002,Global Electronics,4.2,WH006,Pune Warehouse,Pune,8000,63.27,60,4000,240000,Road,Chennai,Mumbai,606,4848,2025-01-08,2025-01-08,On Time,0,560,106,Sufficient,On Time,1,January,Q1,2025,Thursday,8.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD07172,2025-01-02,P007,Scanner,Office Equipment,SUP006,Reliable Components,4.7,WH004,Mumbai Central,Mumbai,15000,62.66,83,9000,747000,Sea,Pune,Ahmedabad,1054,3162,2025-01-20,2025-01-20,On Time,0,191,198,Reorder Required,On Time,1,January,Q1,2025,Thursday,3.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD08198,2025-01-02,P003,Monitor,Electronics,SUP007,Digital Supply Co,3.8,WH003,Hyderabad Hub,Hyderabad,9000,45.28,78,18000,1404000,Road,Mumbai,Kolkata,380,3040,2025-01-06,2025-01-06,On Time,0,237,115,Sufficient,On Time,1,January,Q1,2025,Thursday,8.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD00754,2025-01-02,P004,Keyboard,Accessories,SUP001,TechSource India,4.6,WH003,Hyderabad Hub,Hyderabad,9000,52.64,72,1500,108000,Sea,Bangalore,Chennai,1480,4440,2025-01-17,2025-01-17,On Time,0,321,217,Sufficient,On Time,1,January,Q1,2025,Thursday,3.0,Medium Risk,Low Risk,Low Risk,Low Risk
ORD06945,2025-01-02,P002,Desktop PC,Electronics,SUP002,Global Electronics,4.2,WH005,Delhi Distribution,Delhi,14000,70.72,97,55000,5335000,Air,Pune,Hyderabad,1525,27450,2025-01-04,2025-01-04,On Time,0,342,118,Sufficient,On Time,1,January,Q1,2025,Thursday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD00954,2025-01-02,P009,Switch,Networking,SUP006,Reliable Components,4.7,WH004,Mumbai Central,Mumbai,15000,46.54,84,7500,630000,Rail,Pune,Bangalore,1620,8100,2025-01-13,2025-01-14,On Time,1,213,262,Reorder Required,Minor Delay,1,January,Q1,2025,Thursday,5.0,High Risk,Low Risk,Medium Risk,Medium Risk
ORD03360,2025-01-02,P006,Printer,Office Equipment,SUP004,NextGen Supplies,3.9,WH004,Mumbai Central,Mumbai,15000,89.65,50,12000,600000,Rail,Bangalore,Coimbatore,1965,9825,2025-01-09,2025-01-10,On Time,1,313,272,Sufficient,Minor Delay,1,January,Q1,2025,Thursday,5.0,Medium Risk,Medium Risk,Medium Risk,Medium Risk
ORD02959,2025-01-03,P008,Router,Networking,SUP002,Global Electronics,4.2,WH003,Hyderabad Hub,Hyderabad,9000,72.0,40,5000,200000,Road,Delhi,Pune,530,4240,2025-01-07,2025-01-07,On Time,0,99,220,Reorder Required,On Time,1,January,Q1,2025,Friday,8.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD02443,2025-01-03,P014,Webcam,Accessories,SUP008,FutureTech Suppliers,4.5,WH002,Bangalore Hub,Bangalore,12000,56.21,19,4000,76000,Air,Delhi,Hyderabad,1581,28458,2025-01-06,2025-01-06,On Time,0,343,128,Sufficient,On Time,1,January,Q1,2025,Friday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD01769,2025-01-03,P002,Desktop PC,Electronics,SUP008,FutureTech Suppliers,4.5,WH006,Pune Warehouse,Pune,8000,96.84,47,55000,2585000,Rail,Pune,Chennai,1887,9435,2025-01-14,2025-01-15,On Time,1,605,185,Sufficient,Minor Delay,1,January,Q1,2025,Friday,5.0,Low Risk,High Risk,Medium Risk,Medium Risk
ORD05949,2025-01-03,P014,Webcam,Accessories,SUP001,TechSource India,4.6,WH001,Chennai Central,Chennai,10000,81.34,97,4000,388000,Road,Pune,Hyderabad,1141,9128,2025-01-10,2025-01-10,On Time,0,665,190,Sufficient,On Time,1,January,Q1,2025,Friday,8.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD05167,2025-01-03,P014,Webcam,Accessories,SUP007,Digital Supply Co,3.8,WH002,Bangalore Hub,Bangalore,12000,91.84,82,4000,328000,Air,Chennai,Jaipur,1163,20934,2025-01-07,2025-01-08,On Time,1,23,185,Reorder Required,Minor Delay,1,January,Q1,2025,Friday,18.0,High Risk,High Risk,Medium Risk,High Risk
ORD04421,2025-01-03,P010,Hard Drive,Storage,SUP003,Prime Components,4.8,WH002,Bangalore Hub,Bangalore,12000,88.44,24,6000,144000,Rail,Chennai,Hyderabad,2155,10775,2025-01-09,2025-01-09,On Time,0,229,181,Sufficient,On Time,1,January,Q1,2025,Friday,5.0,Medium Risk,Medium Risk,Low Risk,Medium Risk
ORD08030,2025-01-03,P013,Graphics Card,Computer Parts,SUP003,Prime Components,4.8,WH004,Mumbai Central,Mumbai,15000,83.14,67,45000,3015000,Road,Bangalore,Mumbai,183,1464,2025-01-11,2025-01-12,On Time,1,794,197,Sufficient,Minor Delay,1,January,Q1,2025,Friday,8.0,Low Risk,Medium Risk,Medium Risk,Medium Risk
ORD04695,2025-01-03,P015,Headset,Accessories,SUP007,Digital Supply Co,3.8,WH001,Chennai Central,Chennai,10000,93.31,67,2500,167500,Sea,Pune,Jaipur,1232,3696,2025-01-19,2025-01-26,Delayed,7,622,138,Sufficient,Moderate Delay,1,January,Q1,2025,Friday,3.0,Low Risk,High Risk,High Risk,High Risk
ORD05806,2025-01-03,P014,Webcam,Accessories,SUP005,SmartTech Distributors,4.4,WH001,Chennai Central,Chennai,10000,69.76,39,4000,156000,Rail,Mumbai,Coimbatore,463,2315,2025-01-12,2025-01-22,Delayed,10,403,235,Sufficient,Severe Delay,1,January,Q1,2025,Friday,5.0,Low Risk,Low Risk,High Risk,Medium Risk
ORD00592,2025-01-03,P008,Router,Networking,SUP006,Reliable Components,4.7,WH002,Bangalore Hub,Bangalore,12000,72.37,96,5000,480000,Rail,Hyderabad,Delhi,1215,6075,2025-01-10,2025-01-10,On Time,0,127,183,Reorder Required,On Time,1,January,Q1,2025,Friday,5.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD02291,2025-01-03,P013,Graphics Card,Computer Parts,SUP002,Global Electronics,4.2,WH004,Mumbai Central,Mumbai,15000,68.54,63,45000,2835000,Rail,Pune,Ahmedabad,1332,6660,2025-01-12,2025-01-12,On Time,0,855,109,Sufficient,On Time,1,January,Q1,2025,Friday,5.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD05606,2025-01-03,P001,Laptop,Electronics,SUP002,Global Electronics,4.2,WH006,Pune Warehouse,Pune,8000,68.52,67,65000,4355000,Air,Mumbai,Kolkata,1629,29322,2025-01-06,2025-01-16,Delayed,10,404,106,Sufficient,Severe Delay,1,January,Q1,2025,Friday,18.0,Low Risk,Low Risk,High Risk,Medium Risk
ORD03309,2025-01-03,P013,Graphics Card,Computer Parts,SUP003,Prime Components,4.8,WH003,Hyderabad Hub,Hyderabad,9000,89.26,4,45000,180000,Rail,Mumbai,Chennai,1108,5540,2025-01-08,2025-01-13,Delayed,5,271,298,Reorder Required,Moderate Delay,1,January,Q1,2025,Friday,5.0,High Risk,Medium Risk,High Risk,High Risk
ORD06892,2025-01-03,P004,Keyboard,Accessories,SUP008,FutureTech Suppliers,4.5,WH002,Bangalore Hub,Bangalore,12000,88.45,14,1500,21000,Sea,Delhi,Coimbatore,1845,5535,2025-01-21,2025-01-21,On Time,0,785,189,Sufficient,On Time,1,January,Q1,2025,Friday,3.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD03393,2025-01-03,P002,Desktop PC,Electronics,SUP002,Global Electronics,4.2,WH003,Hyderabad Hub,Hyderabad,9000,56.17,83,55000,4565000,Air,Mumbai,Kolkata,1182,21276,2025-01-04,2025-01-04,On Time,0,910,126,Sufficient,On Time,1,January,Q1,2025,Friday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD03017,2025-01-03,P001,Laptop,Electronics,SUP005,SmartTech Distributors,4.4,WH001,Chennai Central,Chennai,10000,67.41,57,65000,3705000,Air,Mumbai,Chennai,660,11880,2025-01-05,2025-01-05,On Time,0,72,286,Reorder Required,On Time,1,January,Q1,2025,Friday,18.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD00846,2025-01-03,P006,Printer,Office Equipment,SUP007,Digital Supply Co,3.8,WH005,Delhi Distribution,Delhi,14000,63.89,70,12000,840000,Road,Hyderabad,Coimbatore,2082,16656,2025-01-07,2025-01-08,On Time,1,532,190,Sufficient,Minor Delay,1,January,Q1,2025,Friday,8.0,Low Risk,Low Risk,Medium Risk,Low Risk
ORD00612,2025-01-03,P015,Headset,Accessories,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,92.31,23,2500,57500,Sea,Delhi,Ahmedabad,1658,4974,2025-01-21,2025-01-23,Delayed,2,571,107,Sufficient,Minor Delay,1,January,Q1,2025,Friday,3.0,Low Risk,High Risk,Medium Risk,Medium Risk
ORD06776,2025-01-03,P004,Keyboard,Accessories,SUP004,NextGen Supplies,3.9,WH001,Chennai Central,Chennai,10000,68.34,25,1500,37500,Sea,Hyderabad,Coimbatore,1922,5766,2025-01-21,2025-01-29,Delayed,8,416,213,Sufficient,Severe Delay,1,January,Q1,2025,Friday,3.0,Low Risk,Low Risk,High Risk,Medium Risk
ORD08080,2025-01-03,P014,Webcam,Accessories,SUP003,Prime Components,4.8,WH005,Delhi Distribution,Delhi,14000,89.26,12,4000,48000,Air,Mumbai,Ahmedabad,725,13050,2025-01-07,2025-01-08,On Time,1,76,119,Reorder Required,Minor Delay,1,January,Q1,2025,Friday,18.0,High Risk,Medium Risk,Medium Risk,High Risk
ORD05508,2025-01-03,P014,Webcam,Accessories,SUP005,SmartTech Distributors,4.4,WH003,Hyderabad Hub,Hyderabad,9000,77.84,80,4000,320000,Sea,Mumbai,Kolkata,2023,6069,2025-01-23,2025-01-23,On Time,0,78,164,Reorder Required,On Time,1,January,Q1,2025,Friday,3.0,High Risk,Medium Risk,Low Risk,Medium Risk
