Order_ID,Order_Date,Product_ID,Product_Name,Product_Category,Supplier_ID,Supplier_Name,Supplier_Rating,Warehouse_ID,Warehouse_Name,Warehouse_Location,Warehouse_Capacity,Warehouse_Utilization,Quantity,Unit_Price,Order_Value,Shipping_Mode,Origin,Destination,Distance_KM,Shipping_Cost,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delivery_Delay_Days,Inventory_Level,Reorder_Level,Inventory_Status
ORD00051,2025-12-09,P007,Scanner,Office Equipment,SUP006,Reliable Components,4.7,WH001,Chennai Central,Chennai,10000,82.16,64,9000,576000,Air,Bangalore,Ahmedabad,918,16524,2025-12-12,2025-12-12,On Time,0,306,252,Sufficient
ORD00052,2025-05-22,P009,Switch,Networking,SUP001,TechSource India,4.6,WH005,Delhi Distribution,Delhi,14000,71.01,25,7500,187500,Road,Bangalore,Kolkata,2051,16408,2025-05-29,2025-05-30,On Time,1,681,282,Sufficient
ORD00053,2025-01-09,P002,Desktop PC,Electronics,SUP005,SmartTech Distributors,4.4,WH002,Bangalore Hub,Bangalore,12000,74.17,52,55000,2860000,Rail,Hyderabad,Jaipur,1561,7805,2025-01-21,2025-01-21,On Time,0,455,290,Sufficient
ORD00054,2025-06-30,P012,RAM,Computer Parts,SUP008,FutureTech Suppliers,4.5,WH003,Hyderabad Hub,Hyderabad,9000,84.15,40,3500,140000,Air,Bangalore,Mumbai,1342,24156,2025-07-01,2025-07-01,On Time,0,216,155,Sufficient
ORD00055,2025-05-22,P012,RAM,Computer Parts,SUP005,SmartTech Distributors,4.4,WH001,Chennai Central,Chennai,10000,47.41,25,3500,87500,Air,Bangalore,Pune,784,14112,2025-05-25,2025-06-03,Delayed,9,149,170,Reorder Required
ORD00056,2025-01-28,P009,Switch,Networking,SUP005,SmartTech Distributors,4.4,WH006,Pune Warehouse,Pune,8000,58.38,17,7500,127500,Sea,Chennai,Jaipur,1214,3642,2025-02-14,2025-02-14,On Time,0,208,113,Sufficient
ORD00057,2025-09-02,P002,Desktop PC,Electronics,SUP002,Global Electronics,4.2,WH004,Mumbai Central,Mumbai,15000,51.28,63,55000,3465000,Road,Delhi,Chennai,671,5368,2025-09-06,2025-09-06,On Time,0,107,163,Reorder Required
ORD00058,2025-08-02,P010,Hard Drive,Storage,SUP004,NextGen Supplies,3.9,WH005,Delhi Distribution,Delhi,14000,95.89,49,6000,294000,Sea,Mumbai,Delhi,2460,7380,2025-08-18,2025-08-28,Delayed,10,81,256,Reorder Required
ORD00059,2025-02-20,P013,Graphics Card,Computer Parts,SUP004,NextGen Supplies,3.9,WH006,Pune Warehouse,Pune,8000,66.65,28,45000,1260000,Air,Pune,Bangalore,693,12474,2025-02-22,2025-02-24,Delayed,2,180,100,Sufficient
ORD00060,2025-12-19,P010,Hard Drive,Storage,SUP008,FutureTech Suppliers,4.5,WH003,Hyderabad Hub,Hyderabad,9000,76.26,5,6000,30000,Rail,Hyderabad,Delhi,1909,9545,2025-12-25,2025-12-25,On Time,0,826,260,Sufficient
ORD00061,2025-04-12,P007,Scanner,Office Equipment,SUP002,Global Electronics,4.2,WH005,Delhi Distribution,Delhi,14000,69.84,29,9000,261000,Rail,Hyderabad,Bangalore,294,1470,2025-04-19,2025-04-19,On Time,0,469,131,Sufficient
ORD00062,2025-06-05,P012,RAM,Computer Parts,SUP007,Digital Supply Co,3.8,WH003,Hyderabad Hub,Hyderabad,9000,46.37,65,3500,227500,Sea,Mumbai,Bangalore,2499,7497,2025-06-15,2025-06-15,On Time,0,638,164,Sufficient
ORD00063,2025-04-28,P011,SSD,Storage,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,68.1,35,7000,245000,Road,Bangalore,Ahmedabad,2175,17400,2025-05-06,2025-05-06,On Time,0,205,249,Reorder Required
ORD00064,2025-09-09,P002,Desktop PC,Electronics,SUP008,FutureTech Suppliers,4.5,WH003,Hyderabad Hub,Hyderabad,9000,95.1,53,55000,2915000,Air,Hyderabad,Bangalore,708,12744,2025-09-12,2025-09-13,On Time,1,315,269,Sufficient
ORD00065,2025-10-09,P001,Laptop,Electronics,SUP008,FutureTech Suppliers,4.5,WH001,Chennai Central,Chennai,10000,54.94,41,65000,2665000,Air,Hyderabad,Bangalore,1705,30690,2025-10-10,2025-10-11,On Time,1,443,113,Sufficient
ORD00066,2025-07-05,P010,Hard Drive,Storage,SUP008,FutureTech Suppliers,4.5,WH006,Pune Warehouse,Pune,8000,70.69,57,6000,342000,Road,Bangalore,Delhi,2299,18392,2025-07-09,2025-07-10,On Time,1,921,278,Sufficient
ORD00067,2025-01-15,P011,SSD,Storage,SUP004,NextGen Supplies,3.9,WH006,Pune Warehouse,Pune,8000,79.33,21,7000,147000,Air,Delhi,Chennai,2312,41616,2025-01-19,2025-01-21,Delayed,2,492,130,Sufficient
ORD00068,2025-03-20,P008,Router,Networking,SUP005,SmartTech Distributors,4.4,WH005,Delhi Distribution,Delhi,14000,93.86,91,5000,455000,Air,Mumbai,Ahmedabad,1984,35712,2025-03-22,2025-03-22,On Time,0,412,148,Sufficient
ORD00069,2025-09-18,P012,RAM,Computer Parts,SUP003,Prime Components,4.8,WH001,Chennai Central,Chennai,10000,75.74,36,3500,126000,Sea,Hyderabad,Coimbatore,1144,3432,2025-09-28,2025-09-28,On Time,0,877,250,Sufficient
ORD00070,2025-12-04,P008,Router,Networking,SUP003,Prime Components,4.8,WH004,Mumbai Central,Mumbai,15000,96.98,69,5000,345000,Sea,Hyderabad,Pune,2310,6930,2025-12-22,2025-12-22,On Time,0,910,148,Sufficient
ORD00071,2025-05-03,P010,Hard Drive,Storage,SUP007,Digital Supply Co,3.8,WH002,Bangalore Hub,Bangalore,12000,51.69,100,6000,600000,Sea,Chennai,Pune,1987,5961,2025-05-19,2025-05-19,On Time,0,527,109,Sufficient
ORD00072,2025-10-30,P006,Printer,Office Equipment,SUP002,Global Electronics,4.2,WH004,Mumbai Central,Mumbai,15000,96.37,13,12000,156000,Sea,Chennai,Hyderabad,1729,5187,2025-11-19,2025-11-19,On Time,0,500,300,Sufficient
ORD00073,2025-06-23,P010,Hard Drive,Storage,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,46.9,11,6000,66000,Air,Pune,Coimbatore,1606,28908,2025-06-26,2025-06-27,On Time,1,913,238,Sufficient
ORD00074,2025-02-05,P004,Keyboard,Accessories,SUP005,SmartTech Distributors,4.4,WH002,Bangalore Hub,Bangalore,12000,47.44,96,1500,144000,Road,Mumbai,Bangalore,461,3688,2025-02-11,2025-02-11,On Time,0,945,107,Sufficient
ORD00075,2025-01-29,P005,Mouse,Accessories,SUP006,Reliable Components,4.7,WH003,Hyderabad Hub,Hyderabad,9000,77.84,56,800,44800,Rail,Bangalore,Coimbatore,1737,8685,2025-02-05,2025-02-07,Delayed,2,644,197,Sufficient
ORD00076,2025-05-04,P008,Router,Networking,SUP003,Prime Components,4.8,WH002,Bangalore Hub,Bangalore,12000,95.1,60,5000,300000,Air,Mumbai,Delhi,88,1584,2025-05-08,2025-05-08,On Time,0,95,213,Reorder Required
ORD00077,2025-10-28,P005,Mouse,Accessories,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,75.47,33,800,26400,Sea,Hyderabad,Mumbai,1625,4875,2025-11-14,2025-11-21,Delayed,7,605,191,Sufficient
ORD00078,2025-12-25,P005,Mouse,Accessories,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,77.17,51,800,40800,Air,Chennai,Jaipur,250,4500,2025-12-29,2025-12-29,On Time,0,814,158,Sufficient
ORD00079,2025-06-30,P004,Keyboard,Accessories,SUP004,NextGen Supplies,3.9,WH005,Delhi Distribution,Delhi,14000,83.82,33,1500,49500,Rail,Pune,Bangalore,211,1055,2025-07-09,2025-07-09,On Time,0,613,193,Sufficient
ORD00080,2025-02-16,P015,Headset,Accessories,SUP005,SmartTech Distributors,4.4,WH003,Hyderabad Hub,Hyderabad,9000,93.41,96,2500,240000,Sea,Bangalore,Mumbai,591,1773,2025-03-06,2025-03-06,On Time,0,563,228,Sufficient
ORD00081,2025-03-26,P005,Mouse,Accessories,SUP008,FutureTech Suppliers,4.5,WH003,Hyderabad Hub,Hyderabad,9000,83.38,96,800,76800,Air,Chennai,Ahmedabad,358,6444,2025-03-28,2025-03-28,On Time,0,900,273,Sufficient
ORD00082,2025-07-23,P014,Webcam,Accessories,SUP006,Reliable Components,4.7,WH001,Chennai Central,Chennai,10000,88.59,51,4000,204000,Road,Hyderabad,Coimbatore,556,4448,2025-07-29,2025-07-29,On Time,0,618,197,Sufficient
ORD00083,2025-07-10,P002,Desktop PC,Electronics,SUP004,NextGen Supplies,3.9,WH004,Mumbai Central,Mumbai,15000,51.18,4,55000,220000,Air,Delhi,Mumbai,308,5544,2025-07-14,2025-07-14,On Time,0,684,204,Sufficient
ORD00084,2025-01-24,P001,Laptop,Electronics,SUP005,SmartTech Distributors,4.4,WH004,Mumbai Central,Mumbai,15000,83.51,15,65000,975000,Road,Bangalore,Coimbatore,605,4840,2025-01-30,2025-01-31,On Time,1,621,290,Sufficient
ORD00085,2025-08-01,P011,SSD,Storage,SUP002,Global Electronics,4.2,WH004,Mumbai Central,Mumbai,15000,50.27,79,7000,553000,Sea,Hyderabad,Chennai,1567,4701,2025-08-14,2025-08-14,On Time,0,895,192,Sufficient
ORD00086,2025-12-18,P006,Printer,Office Equipment,SUP006,Reliable Components,4.7,WH001,Chennai Central,Chennai,10000,57.91,51,12000,612000,Air,Bangalore,Ahmedabad,425,7650,2025-12-20,2025-12-20,On Time,0,71,185,Reorder Required
ORD00087,2025-03-06,P013,Graphics Card,Computer Parts,SUP004,NextGen Supplies,3.9,WH001,Chennai Central,Chennai,10000,97.34,98,45000,4410000,Rail,Delhi,Mumbai,1004,5020,2025-03-16,2025-03-16,On Time,0,303,137,Sufficient
ORD00088,2025-10-04,P005,Mouse,Accessories,SUP003,Prime Components,4.8,WH001,Chennai Central,Chennai,10000,47.78,85,800,68000,Road,Bangalore,Chennai,1517,12136,2025-10-08,2025-10-08,On Time,0,198,167,Sufficient
ORD00089,2025-08-04,P009,Switch,Networking,SUP002,Global Electronics,4.2,WH006,Pune Warehouse,Pune,8000,47.3,9,7500,67500,Sea,Mumbai,Pune,2152,6456,2025-08-23,2025-09-01,Delayed,9,246,257,Reorder Required
ORD00090,2025-12-04,P009,Switch,Networking,SUP005,SmartTech Distributors,4.4,WH004,Mumbai Central,Mumbai,15000,48.9,83,7500,622500,Road,Chennai,Ahmedabad,1695,13560,2025-12-10,2025-12-11,On Time,1,749,213,Sufficient
ORD00091,2025-02-11,P006,Printer,Office Equipment,SUP003,Prime Components,4.8,WH001,Chennai Central,Chennai,10000,77.09,17,12000,204000,Air,Delhi,Jaipur,2296,41328,2025-02-14,2025-02-14,On Time,0,484,229,Sufficient
ORD00092,2025-02-20,P013,Graphics Card,Computer Parts,SUP002,Global Electronics,4.2,WH006,Pune Warehouse,Pune,8000,83.67,84,45000,3780000,Rail,Mumbai,Ahmedabad,985,4925,2025-03-03,2025-03-04,On Time,1,428,206,Sufficient
ORD00093,2025-06-10,P007,Scanner,Office Equipment,SUP006,Reliable Components,4.7,WH006,Pune Warehouse,Pune,8000,84.46,33,9000,297000,Air,Bangalore,Ahmedabad,324,5832,2025-06-11,2025-06-11,On Time,0,462,124,Sufficient
ORD00094,2025-07-10,P013,Graphics Card,Computer Parts,SUP003,Prime Components,4.8,WH005,Delhi Distribution,Delhi,14000,47.73,8,45000,360000,Air,Pune,Bangalore,1732,31176,2025-07-13,2025-07-14,On Time,1,908,284,Sufficient
ORD00095,2025-05-28,P010,Hard Drive,Storage,SUP005,SmartTech Distributors,4.4,WH003,Hyderabad Hub,Hyderabad,9000,59.76,14,6000,84000,Rail,Bangalore,Ahmedabad,968,4840,2025-06-03,2025-06-03,On Time,0,137,295,Reorder Required
ORD00096,2025-04-26,P013,Graphics Card,Computer Parts,SUP007,Digital Supply Co,3.8,WH005,Delhi Distribution,Delhi,14000,63.6,99,45000,4455000,Road,Delhi,Chennai,788,6304,2025-05-01,2025-05-01,On Time,0,963,186,Sufficient
ORD00097,2025-04-03,P014,Webcam,Accessories,SUP003,Prime Components,4.8,WH005,Delhi Distribution,Delhi,14000,69.04,85,4000,340000,Sea,Chennai,Hyderabad,175,525,2025-04-14,2025-04-14,On Time,0,405,207,Sufficient
ORD00098,2025-03-22,P006,Printer,Office Equipment,SUP005,SmartTech Distributors,4.4,WH006,Pune Warehouse,Pune,8000,80.08,42,12000,504000,Road,Chennai,Hyderabad,694,5552,2025-03-29,2025-03-31,Delayed,2,298,213,Sufficient
ORD00099,2025-09-06,P010,Hard Drive,Storage,SUP008,FutureTech Suppliers,4.5,WH004,Mumbai Central,Mumbai,15000,80.36,35,6000,210000,Rail,Delhi,Bangalore,1463,7315,2025-09-17,2025-09-27,Delayed,10,518,234,Sufficient
ORD00100,2025-01-24,P004,Keyboard,Accessories,SUP007,Digital Supply Co,3.8,WH005,Delhi Distribution,Delhi,14000,45.41,8,1500,12000,Road,Bangalore,Delhi,915,7320,2025-01-28,2025-01-28,On Time,0,355,130,Sufficient
ORD00101,2025-08-09,P003,Monitor,Electronics,SUP003,Prime Components,4.8,WH004,Mumbai Central,Mumbai,15000,69.37,69,18000,1242000,Rail,Delhi,Coimbatore,1500,7500,2025-08-15,2025-08-15,On Time,0,466,104,Sufficient
ORD00102,2025-02-09,P014,Webcam,Accessories,SUP006,Reliable Components,4.7,WH005,Delhi Distribution,Delhi,14000,69.39,55,4000,220000,Sea,Pune,Kolkata,1235,3705,2025-02-20,2025-02-20,On Time,0,195,258,Reorder Required
ORD00103,2025-12-20,P015,Headset,Accessories,SUP006,Reliable Components,4.7,WH001,Chennai Central,Chennai,10000,84.53,56,2500,140000,Road,Bangalore,Kolkata,2462,19696,2025-12-26,2025-12-27,On Time,1,911,179,Sufficient
ORD00104,2025-04-24,P006,Printer,Office Equipment,SUP003,Prime Components,4.8,WH001,Chennai Central,Chennai,10000,52.76,66,12000,792000,Road,Delhi,Coimbatore,844,6752,2025-04-29,2025-04-29,On Time,0,261,126,Sufficient
ORD00105,2025-04-12,P003,Monitor,Electronics,SUP003,Prime Components,4.8,WH006,Pune Warehouse,Pune,8000,61.76,10,18000,180000,Rail,Pune,Ahmedabad,1950,9750,2025-04-24,2025-04-24,On Time,0,904,260,Sufficient
ORD00106,2025-08-14,P002,Desktop PC,Electronics,SUP008,FutureTech Suppliers,4.5,WH004,Mumbai Central,Mumbai,15000,46.99,81,55000,4455000,Air,Hyderabad,Jaipur,280,5040,2025-08-17,2025-08-17,On Time,0,492,215,Sufficient
